Season,Position,Club,Played,Wins,Draws,Losses,GF,GA,GD,Points,club_id,SummerSpend,SummerIncome,NetSpend,RecoveredIncomingFees,RecoveredOutgoingFees,InternalIncomingMoves,InternalOutgoingMoves,UnknownIncomingFees,UnknownOutgoingFees,NoFeeIncomingMoves,NoFeeOutgoingMoves,NotFoundIncomingFees,NotFoundOutgoingFees
05/06,1,Chelsea,38,29,4,5,72.0,22.0,50.0,91,631,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,2,Man United,38,25,8,5,72.0,34.0,38.0,83,985,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,3,Liverpool,38,25,7,6,57.0,25.0,32.0,82,31,9800000.0,0.0,9800000.0,0,0,0,0,0,0,0,0,0,0
05/06,4,Arsenal,38,20,7,11,68.0,31.0,37.0,67,11,500000.0,0.0,500000.0,0,0,0,0,0,0,0,0,0,0
05/06,5,Tottenham,38,18,11,9,53.0,38.0,15.0,65,148,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,6,Blackburn,38,19,6,13,51.0,42.0,9.0,63,164,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,7,Newcastle,38,17,7,14,47.0,42.0,5.0,58,762,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,8,Bolton,38,15,11,12,49.0,41.0,8.0,56,355,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,9,West Ham,38,16,7,15,52.0,55.0,-3.0,55,379,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,10,Wigan,38,15,6,17,45.0,52.0,-7.0,51,1071,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,11,Everton,38,14,8,16,34.0,49.0,-15.0,50,29,375000.0,0.0,375000.0,0,0,0,0,0,0,0,0,0,0
05/06,12,Fulham,38,14,6,18,48.0,58.0,-10.0,48,931,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,13,Charlton,38,13,8,17,41.0,55.0,-14.0,47,358,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
05/06,14,Middlesbrough,38,12,9,17,48.0,58.0,-10.0,45,641,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,15,Man City,38,13,4,21,43.0,48.0,-5.0,43,281,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,16,Aston Villa,38,10,12,16,42.0,55.0,-13.0,42,405,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,17,Portsmouth,38,10,8,20,37.0,62.0,-25.0,38,1020,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
05/06,18,Birmingham,38,8,10,20,28.0,50.0,-22.0,34,337,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
05/06,19,West Brom,38,7,9,22,31.0,58.0,-27.0,30,984,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,20,Sunderland,38,3,6,29,26.0,69.0,-43.0,15,289,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,1,Man United,38,28,5,5,83.0,27.0,56.0,89,985,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
06/07,2,Chelsea,38,24,11,3,64.0,24.0,40.0,83,631,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,3,Liverpool,38,20,8,10,57.0,27.0,30.0,68,31,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,4,Arsenal,38,19,11,8,63.0,35.0,28.0,68,11,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,5,Tottenham,38,17,9,12,57.0,54.0,3.0,60,148,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,6,Everton,38,15,13,10,52.0,36.0,16.0,58,29,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,7,Bolton,38,16,8,14,47.0,52.0,-5.0,56,355,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
06/07,8,Reading,38,16,7,15,52.0,47.0,5.0,55,1032,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,9,Portsmouth,38,14,12,12,45.0,42.0,3.0,54,1020,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,10,Blackburn,38,15,7,16,52.0,54.0,-2.0,52,164,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,11,Aston Villa,38,11,17,10,43.0,41.0,2.0,50,405,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,12,Middlesbrough,38,12,10,16,44.0,49.0,-5.0,46,641,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,13,Newcastle,38,11,10,17,38.0,47.0,-9.0,43,762,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
