Season,Position,Club,Played,Wins,Draws,Losses,GF,GA,GD,Points
0506,1,Chelsea,38,29,4,5,72.0,22.0,50.0,91
0506,2,Man United,38,25,8,5,72.0,34.0,38.0,83
0506,3,Liverpool,38,25,7,6,57.0,25.0,32.0,82
0506,4,Arsenal,38,20,7,11,68.0,31.0,37.0,67
0506,5,Tottenham,38,18,11,9,53.0,38.0,15.0,65
0506,6,Blackburn,38,19,6,13,51.0,42.0,9.0,63
0506,7,Newcastle,38,17,7,14,47.0,42.0,5.0,58
0506,8,Bolton,38,15,11,12,49.0,41.0,8.0,56
0506,9,West Ham,38,16,7,15,52.0,55.0,-3.0,55
0506,10,Wigan,38,15,6,17,45.0,52.0,-7.0,51
0506,11,Everton,38,14,8,16,34.0,49.0,-15.0,50
0506,12,Fulham,38,14,6,18,48.0,58.0,-10.0,48
0506,13,Charlton,38,13,8,17,41.0,55.0,-14.0,47
0506,14,Middlesbrough,38,12,9,17,48.0,58.0,-10.0,45
0506,15,Man City,38,13,4,21,43.0,48.0,-5.0,43
0506,16,Aston Villa,38,10,12,16,42.0,55.0,-13.0,42
0506,17,Portsmouth,38,10,8,20,37.0,62.0,-25.0,38
0506,18,Birmingham,38,8,10,20,28.0,50.0,-22.0,34
0506,19,West Brom,38,7,9,22,31.0,58.0,-27.0,30
0506,20,Sunderland,38,3,6,29,26.0,69.0,-43.0,15
0607,1,Man United,38,28,5,5,83.0,27.0,56.0,89
0607,2,Chelsea,38,24,11,3,64.0,24.0,40.0,83
0607,3,Liverpool,38,20,8,10,57.0,27.0,30.0,68
0607,4,Arsenal,38,19,11,8,63.0,35.0,28.0,68
0607,5,Tottenham,38,17,9,12,57.0,54.0,3.0,60
0607,6,Everton,38,15,13,10,52.0,36.0,16.0,58
0607,7,Bolton,38,16,8,14,47.0,52.0,-5.0,56
0607,8,Reading,38,16,7,15,52.0,47.0,5.0,55
0607,9,Portsmouth,38,14,12,12,45.0,42.0,3.0,54
0607,10,Blackburn,38,15,7,16,52.0,54.0,-2.0,52
0607,11,Aston Villa,38,11,17,10,43.0,41.0,2.0,50
0607,12,Middlesbrough,38,12,10,16,44.0,49.0,-5.0,46
0607,13,Newcastle,38,11,10,17,38.0,47.0,-9.0,43
0607,14,Man City,38,11,9,18,29.0,44.0,-15.0,42
0607,15,West Ham,38,12,5,21,35.0,59.0,-24.0,41
0607,16,Fulham,38,8,15,15,38.0,60.0,-22.0,39
0607,17,Wigan,38,10,8,20,37.0,59.0,-22.0,38
0607,18,Sheffield United,38,10,8,20,32.0,55.0,-23.0,38
0607,19,Charlton,38,8,10,20,34.0,60.0,-26.0,34
0607,20,Watford,38,5,13,20,29.0,59.0,-30.0,28
0708,1,Man United,38,27,6,5,80.0,22.0,58.0,87
0708,2,Chelsea,38,25,10,3,65.0,26.0,39.0,85
0708,3,Arsenal,38,24,11,3,74.0,31.0,43.0,83
0708,4,Liverpool,38,21,13,4,67.0,28.0,39.0,76
0708,5,Everton,38,19,8,11,55.0,33.0,22.0,65
0708,6,Aston Villa,38,16,12,10,71.0,51.0,20.0,60
0708,7,Blackburn,38,15,13,10,50.0,48.0,2.0,58
0708,8,Portsmouth,38,16,9,13,48.0,40.0,8.0,57
0708,9,Man City,38,15,10,13,45.0,53.0,-8.0,55
0708,10,West Ham,38,13,10,15,42.0,50.0,-8.0,49
0708,11,Tottenham,38,11,13,14,66.0,61.0,5.0,46
0708,12,Newcastle,38,11,10,17,45.0,65.0,-20.0,43
0708,13,Middlesbrough,38,10,12,16,43.0,53.0,-10.0,42
0708,14,Wigan,38,10,10,18,34.0,51.0,-17.0,40
0708,15,Sunderland,38,11,6,21,36.0,59.0,-23.0,39
0708,16,Bolton,38,9,10,19,36.0,54.0,-18.0,37
0708,17,Fulham,38,8,12,18,38.0,60.0,-22.0,36
0708,18,Reading,38,10,6,22,41.0,66.0,-25.0,36
0708,19,Birmingham,38,8,11,19,46.0,62.0,-16.0,35
0708,20,Derby,38,1,8,29,20.0,89.0,-69.0,11
0809,1,Man United,38,28,6,4,68.0,24.0,44.0,90
0809,2,Liverpool,38,25,11,2,77.0,27.0,50.0,86
0809,3,Chelsea,38,25,8,5,68.0,24.0,44.0,83
0809,4,Arsenal,38,20,12,6,68.0,37.0,31.0,72
0809,5,Everton,38,17,12,9,55.0,37.0,18.0,63
0809,6,Aston Villa,38,17,11,10,54.0,48.0,6.0,62
0809,7,Fulham,38,14,11,13,39.0,34.0,5.0,53
0809,8,Tottenham,38,14,9,15,45.0,45.0,0.0,51
0809,9,West Ham,38,14,9,15,42.0,45.0,-3.0,51
0809,10,Man City,38,15,5,18,58.0,50.0,8.0,50
0809,11,Wigan,38,12,9,17,34.0,45.0,-11.0,45
0809,12,Stoke,38,12,9,17,38.0,55.0,-17.0,45
0809,13,Bolton,38,11,8,19,41.0,53.0,-12.0,41
0809,14,Portsmouth,38,10,11,17,38.0,57.0,-19.0,41
0809,15,Blackburn,38,10,11,17,40.0,60.0,-20.0,41
0809,16,Sunderland,38,9,9,20,34.0,54.0,-20.0,36
0809,17,Hull,38,8,11,19,39.0,64.0,-25.0,35
0809,18,Newcastle,38,7,13,18,40.0,59.0,-19.0,34
0809,19,Middlesbrough,38,7,11,20,28.0,57.0,-29.0,32
0809,20,West Brom,38,8,8,22,36.0,67.0,-31.0,32
0910,1,Chelsea,38,27,5,6,103.0,32.0,71.0,86
0910,2,Man United,38,27,4,7,86.0,28.0,58.0,85
0910,3,Arsenal,38,23,6,9,83.0,41.0,42.0,75
0910,4,Tottenham,38,21,7,10,67.0,41.0,26.0,70
0910,5,Man City,38,18,13,7,73.0,45.0,28.0,67
0910,6,Aston Villa,38,17,13,8,52.0,39.0,13.0,64
0910,7,Liverpool,38,18,9,11,61.0,35.0,26.0,63
0910,8,Everton,38,16,13,9,60.0,49.0,11.0,61
0910,9,Birmingham,38,13,11,14,38.0,47.0,-9.0,50
0910,10,Blackburn,38,13,11,14,41.0,55.0,-14.0,50
0910,11,Stoke,38,11,14,13,34.0,48.0,-14.0,47
0910,12,Fulham,38,12,10,16,39.0,46.0,-7.0,46
0910,13,Sunderland,38,11,11,16,48.0,56.0,-8.0,44
0910,14,Bolton,38,10,9,19,42.0,67.0,-25.0,39
0910,15,Wolves,38,9,11,18,32.0,56.0,-24.0,38
0910,16,Wigan,38,9,9,20,37.0,79.0,-42.0,36
0910,17,West Ham,38,8,11,19,47.0,66.0,-19.0,35
0910,18,Burnley,38,8,6,24,42.0,82.0,-40.0,30
0910,19,Hull,38,6,12,20,34.0,75.0,-41.0,30
0910,20,Portsmouth,38,7,7,24,34.0,66.0,-32.0,28
1011,1,Man United,38,23,11,4,78.0,37.0,41.0,80
1011,2,Chelsea,38,21,8,9,69.0,33.0,36.0,71
1011,3,Man City,38,21,8,9,60.0,33.0,27.0,71
1011,4,Arsenal,38,19,11,8,72.0,43.0,29.0,68
1011,5,Tottenham,38,16,14,8,55.0,46.0,9.0,62
1011,6,Liverpool,38,17,7,14,59.0,44.0,15.0,58
1011,7,Everton,38,13,15,10,51.0,45.0,6.0,54
1011,8,Fulham,38,11,16,11,49.0,43.0,6.0,49
1011,9,Aston Villa,38,12,12,14,48.0,59.0,-11.0,48
1011,10,Sunderland,38,12,11,15,45.0,56.0,-11.0,47
1011,11,West Brom,38,12,11,15,56.0,71.0,-15.0,47
1011,12,Newcastle,38,11,13,14,56.0,57.0,-1.0,46
1011,13,Stoke,38,13,7,18,46.0,48.0,-2.0,46
1011,14,Bolton,38,12,10,16,52.0,56.0,-4.0,46
1011,15,Blackburn,38,11,10,17,46.0,59.0,-13.0,43
1011,16,Wigan,38,9,15,14,40.0,61.0,-21.0,42
1011,17,Wolves,38,11,7,20,46.0,66.0,-20.0,40
1011,18,Birmingham,38,8,15,15,37.0,58.0,-21.0,39
1011,19,Blackpool,38,10,9,19,55.0,78.0,-23.0,39
1011,20,West Ham,38,7,12,19,43.0,70.0,-27.0,33
1112,1,Man City,38,28,5,5,93.0,29.0,64.0,89
1112,2,Man United,38,28,5,5,89.0,33.0,56.0,89
1112,3,Arsenal,38,21,7,10,74.0,49.0,25.0,70
1112,4,Tottenham,38,20,9,9,66.0,41.0,25.0,69
1112,5,Newcastle,38,19,8,11,56.0,51.0,5.0,65
1112,6,Chelsea,38,18,10,10,65.0,46.0,19.0,64
1112,7,Everton,38,15,11,12,50.0,40.0,10.0,56
1112,8,Liverpool,38,14,10,14,47.0,40.0,7.0,52
1112,9,Fulham,38,14,10,14,48.0,51.0,-3.0,52
1112,10,West Brom,38,13,8,17,45.0,52.0,-7.0,47
1112,11,Swansea,38,12,11,15,44.0,51.0,-7.0,47
1112,12,Norwich,38,12,11,15,52.0,66.0,-14.0,47
1112,13,Sunderland,38,11,12,15,45.0,46.0,-1.0,45
1112,14,Stoke,38,11,12,15,36.0,53.0,-17.0,45
1112,15,Wigan,38,11,10,17,42.0,62.0,-20.0,43
1112,16,Aston Villa,38,7,17,14,37.0,53.0,-16.0,38
1112,17,QPR,38,10,7,21,43.0,66.0,-23.0,37
1112,18,Bolton,38,10,6,22,46.0,77.0,-31.0,36
1112,19,Blackburn,38,8,7,23,48.0,78.0,-30.0,31
1112,20,Wolves,38,5,10,23,40.0,82.0,-42.0,25
1213,1,Man United,38,28,5,5,86.0,43.0,43.0,89
1213,2,Man City,38,23,9,6,66.0,34.0,32.0,78
1213,3,Chelsea,38,22,9,7,75.0,39.0,36.0,75
1213,4,Arsenal,38,21,10,7,72.0,37.0,35.0,73
1213,5,Tottenham,38,21,9,8,66.0,46.0,20.0,72
1213,6,Everton,38,16,15,7,55.0,40.0,15.0,63
1213,7,Liverpool,38,16,13,9,71.0,43.0,28.0,61
1213,8,West Brom,38,14,7,17,53.0,57.0,-4.0,49
1213,9,Swansea,38,11,13,14,47.0,51.0,-4.0,46
1213,10,West Ham,38,12,10,16,45.0,53.0,-8.0,46
1213,11,Norwich,38,10,14,14,41.0,58.0,-17.0,44
1213,12,Fulham,38,11,10,17,50.0,60.0,-10.0,43
1213,13,Stoke,38,9,15,14,34.0,45.0,-11.0,42
1213,14,Southampton,38,9,14,15,49.0,60.0,-11.0,41
1213,15,Aston Villa,38,10,11,17,47.0,69.0,-22.0,41
1213,16,Newcastle,38,11,8,19,45.0,68.0,-23.0,41
1213,17,Sunderland,38,9,12,17,41.0,54.0,-13.0,39
1213,18,Wigan,38,9,9,20,47.0,73.0,-26.0,36
1213,19,Reading,38,6,10,22,43.0,73.0,-30.0,28
1213,20,QPR,38,4,13,21,30.0,60.0,-30.0,25
1314,1,Man City,38,27,5,6,102.0,37.0,65.0,86
1314,2,Liverpool,38,26,6,6,101.0,50.0,51.0,84
1314,3,Chelsea,38,25,7,6,71.0,27.0,44.0,82
1314,4,Arsenal,38,24,7,7,68.0,41.0,27.0,79
1314,5,Everton,38,21,9,8,61.0,39.0,22.0,72
1314,6,Tottenham,38,21,6,11,55.0,51.0,4.0,69
1314,7,Man United,38,19,7,12,64.0,43.0,21.0,64
1314,8,Southampton,38,15,11,12,54.0,46.0,8.0,56
1314,9,Stoke,38,13,11,14,45.0,52.0,-7.0,50
1314,10,Newcastle,38,15,4,19,43.0,59.0,-16.0,49
1314,11,Crystal Palace,38,13,6,19,33.0,48.0,-15.0,45
1314,12,Swansea,38,11,9,18,54.0,54.0,0.0,42
1314,13,West Ham,38,11,7,20,40.0,51.0,-11.0,40
1314,14,Sunderland,38,10,8,20,41.0,60.0,-19.0,38
1314,15,Aston Villa,38,10,8,20,39.0,61.0,-22.0,38
1314,16,Hull,38,10,7,21,38.0,53.0,-15.0,37
