Season,Club,club_id,SummerSpend,SummerIncome,NetSpend,RecoveredIncomingFees,RecoveredOutgoingFees,InternalIncomingMoves,InternalOutgoingMoves,UnknownIncomingFees,UnknownOutgoingFees,NoFeeIncomingMoves,NoFeeOutgoingMoves,NotFoundIncomingFees,NotFoundOutgoingFees
05/06,Chelsea,631,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,Man United,985,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,Liverpool,31,9800000.0,0.0,9800000.0,0,0,0,0,0,0,0,0,0,0
05/06,Arsenal,11,500000.0,0.0,500000.0,0,0,0,0,0,0,0,0,0,0
05/06,Tottenham,148,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,Blackburn,164,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,Newcastle,762,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,Bolton,355,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,West Ham,379,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,Wigan,1071,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,Everton,29,375000.0,0.0,375000.0,0,0,0,0,0,0,0,0,0,0
05/06,Fulham,931,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,Charlton,358,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
05/06,Middlesbrough,641,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,Man City,281,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,Aston Villa,405,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,Portsmouth,1020,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
05/06,Birmingham,337,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
05/06,West Brom,984,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
05/06,Sunderland,289,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Man United,985,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
06/07,Chelsea,631,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Liverpool,31,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Arsenal,11,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Tottenham,148,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Everton,29,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Bolton,355,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
06/07,Reading,1032,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Portsmouth,1020,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Blackburn,164,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Aston Villa,405,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Middlesbrough,641,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Newcastle,762,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Man City,281,900000.0,0.0,900000.0,0,0,0,0,0,0,0,0,0,0
06/07,West Ham,379,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Fulham,931,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Wigan,1071,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Sheffield United,350,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Charlton,358,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
06/07,Watford,1010,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
07/08,Man United,985,25500000.0,0.0,25500000.0,0,0,0,0,0,0,0,0,0,0
07/08,Chelsea,631,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
07/08,Arsenal,11,4350000.0,0.0,4350000.0,0,0,0,0,0,0,0,0,0,0
07/08,Liverpool,31,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
07/08,Everton,29,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
07/08,Aston Villa,405,0.0,5900000.0,-5900000.0,0,0,0,0,0,0,0,0,0,0
