Season,Squad,PublishedPlayers,TotalWageBill,% Estimated,KnownPlayerWageRecords,KnownPlayerWages,MeanKnownAnnualWage,MedianKnownAnnualWage,HighestKnownAnnualWage,LowestKnownAnnualWage,WageStdDev,Top5KnownWages,PlayerRecordDifference,KnownWageCoveragePct,WageReconciliationDifference,ImpliedUnlistedAnnualWage,ImpliedUnlistedWeeklyWage,HighestToMedianWageRatio,Top5KnownWageShare,ObservedWageRange,LowCoverageFlag,HighCoverageFlag,LargeReconciliationFlag,WageDataFlag
13/14,Manchester City,28,113254000.0,100%,25,112132000.0,4485280.0,4420000.0,9880000.0,390000.0,2483517.7927018497,41080000.0,3,99.0093065145602,1122000.0,374000.0,7192.307692307692,2.235294117647059,0.36635393999928656,9490000.0,False,False,False,False
13/14,Chelsea,49,102922000.0,100%,27,97722000.0,3619333.3333333335,3120000.0,9449000.0,104000.0,2758675.3091907115,41169000.0,22,94.94763024426265,5200000.0,236363.63636363635,4545.454545454545,3.028525641025641,0.4212869159452324,9345000.0,False,False,False,False
13/14,Manchester Utd,37,97292000.0,100%,31,97292000.0,3138451.6129032257,3380000.0,9360000.0,52000.0,2342610.037809817,34840000.0,6,100.0,0.0,,,2.769230769230769,0.35809727418492787,9308000.0,False,False,False,False
13/14,Arsenal,41,71994000.0,100%,32,73670800.0,2302212.5,2446500.0,7280000.0,20800.0,1759664.7590819222,26000000.0,9,102.32908297913714,-1676800.0,,,2.9756795422031472,0.3529213745473105,7259200.0,False,False,False,False
13/14,Liverpool,35,65647000.0,100%,26,65666600.0,2525638.4615384615,2054500.0,10400000.0,20800.0,2275645.6638197303,29120000.0,9,100.02985665757764,-19600.0,,,5.062058895108299,0.44345222685505264,10379200.0,False,False,False,False
13/14,Everton,35,52840000.0,100%,28,43340800.0,1547885.7142857143,1352000.0,6240000.0,20800.0,1325159.6615794073,17680000.0,7,82.0227100681302,9499200.0,1357028.5714285714,26096.703296703294,4.615384615384615,0.4079297105729474,6219200.0,True,False,True,True
13/14,Tottenham,42,51251000.0,100%,31,55652600.0,1795245.1612903227,1685000.0,5460000.0,20800.0,1607780.4308712292,22100000.0,11,108.588320227898,-4401600.0,,,3.2403560830860534,0.3971063346546253,5439200.0,False,True,False,True
13/14,West Ham,45,47267000.0,100%,38,47288600.0,1244436.8421052631,1170000.0,4834000.0,20800.0,1143754.3233227525,16794000.0,7,100.04569784416188,-21600.0,,,4.131623931623932,0.3551384477442766,4813200.0,False,False,False,False
13/14,Sunderland,39,41565000.0,100%,25,40005000.0,1600200.0,1820000.0,3120000.0,26000.0,865935.2362234334,13364000.0,14,96.24684229520028,1560000.0,111428.57142857143,2142.857142857143,1.7142857142857142,0.33405824271966006,3094000.0,False,False,False,False
13/14,Newcastle,37,36448000.0,100%,25,34115600.0,1364624.0,1300000.0,4160000.0,20800.0,1065836.5405007778,13945000.0,12,93.60074626865672,2332400.0,194366.66666666666,3737.8205128205127,3.2,0.4087572840577331,4139200.0,False,False,False,False
