Rk,Squad,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Manchester Utd,59,£ 3956846 (€ 4683665 $5033261),£ 205756000 (€ 243550559 $261729552),25%
2,Manchester City,50,£ 3866000 (€ 4576131 $4917701),£ 201032000 (€ 237958824 $255720441),35%
3,Arsenal,52,£ 3193000 (€ 3779510 $4061619),£ 166036000 (€ 196534543 $211204180),12%
4,Chelsea,63,£ 3020000 (€ 3574733 $3841556),£ 157040000 (€ 185886099 $199760922),57%
5,Liverpool,50,£ 2620000 (€ 3101258 $3332741),£ 136240000 (€ 161265423 $173302521),48%
6,Tottenham,61,£ 2260000 (€ 2675131 $2874807),£ 117520000 (€ 139106817 $149489960),39%
7,Aston Villa,53,£ 2252885 (€ 2666709 $2865756),£ 117150000 (€ 138668852 $149019306),50%
8,West Ham,49,£ 1833000 (€ 2169697 $2331647),£ 95316000 (€ 112824244 $121245618),38%
9,Newcastle,59,£ 1625000 (€ 1923490 $2067063),£ 84500000 (€ 100021494 $107487250),41%
10,Everton,48,£ 1518808 (€ 1797792 $1931982),£ 78978000 (€ 93485180 $100463054),57%
11,Nottingham,74,£ 1385577 (€ 1640088 $1762507),£ 72050000 (€ 85284601 $91650371),86%
12,Crystal Palace,54,£ 1327885 (€ 1571799 $1689120),£ 69050000 (€ 81733540 $87834256),65%
13,Fulham,52,£ 1282500 (€ 1518078 $1631389),£ 66690000 (€ 78940040 $84832245),69%
14,Brighton,55,£ 1200000 (€ 1420424 $1526446),£ 62400000 (€ 73862025 $79375200),78%
15,Bournemouth,61,£ 1054500 (€ 1248197 $1341365),£ 54834000 (€ 64906255 $69750957),79%
16,Wolves,51,£ 1035000 (€ 1225115 $1316560),£ 53820000 (€ 63705996 $68461110),76%
17,Brentford,59,£ 768000 (€ 909071 $976926),£ 39936000 (€ 47271698 $50800128),93%
18,Burnley,69,£ 740500 (€ 876520 $941944),£ 38506000 (€ 45579026 $48981113),86%
19,Sheffield United,61,£ 553000 (€ 654579 $703437),£ 28756000 (€ 34038085 $36578738),66%
20,Luton Town,56,£ 472500 (€ 559292 $601038),£ 24570000 (€ 29083174 $31253985),89%
