Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
1,Erling Haaland,no NOR,FW,Manchester City,25,£ 525000 (€ 605676 $705374),£ 27300000 (€ 31495158 $36679453),,1f44ac21
2,Mohamed Salah,eg EGY,MF,Liverpool,33,£ 400000 (€ 461468 $537428),£ 20800000 (€ 23996311 $27946250),,e342ad68
3,Casemiro,br BRA,MF,Manchester Utd,33,£ 350000 (€ 403784 $470249),£ 18200000 (€ 20996772 $24452968),,4d224fe8
4,Virgil van Dijk,nl NED,DF,Liverpool,34,£ 350000 (€ 403784 $470249),£ 18200000 (€ 20996772 $24452968),,e06683ca
5,Raheem Sterling,eng ENG,RW,Chelsea,30,£ 325000 (€ 374942 $436660),£ 16900000 (€ 19497002 $22706328),,b400bde0
6,Bruno Fernandes,pt POR,MF,Manchester Utd,30,£ 300000 (€ 346101 $403071),£ 15600000 (€ 17997233 $20959687),,507c7bdf
7,Bernardo Silva,pt POR,MF,Manchester City,30,£ 300000 (€ 346101 $403071),£ 15600000 (€ 17997233 $20959687),,3eb22ec9
8,Omar Marmoush,eg EGY,FWMF,Manchester City,26,£ 295000 (€ 340332 $396353),£ 15340000 (€ 17697279 $20610359),,0e0102eb
9,Alexander Isak,se SWE,FW,Liverpool,25,£ 280000 (€ 323027 $376200),£ 14560000 (€ 16797417 $19562375),,8e92be30
10,Kai Havertz,de GER,FWMF,Arsenal,26,£ 280000 (€ 323027 $376200),£ 14560000 (€ 16797417 $19562375),,fed7cb61
11,Gabriel Jesus,br BRA,FW,Arsenal,28,£ 265000 (€ 305722 $356046),£ 13780000 (€ 15897556 $18514390),,b66315ae
12,Marc Guéhi,eng ENG,DF,Manchester City,25,£ 250000 (€ 288869 $332822),£ 13000000 (€ 15021180 $17306752),,d0706b27
13,Cody Gakpo,nl NED,MFFW,Liverpool,26,£ 250000 (€ 288417 $335892),£ 13000000 (€ 14997694 $17466406),Unverified estimation,1971591f
14,Gianluigi Donnarumma,it ITA,GK,Manchester City,26,£ 250000 (€ 288417 $335892),£ 13000000 (€ 14997694 $17466406),,08f5afaa
15,John Stones,eng ENG,DF,Manchester City,31,£ 250000 (€ 288417 $335892),£ 13000000 (€ 14997694 $17466406),,5eecec3d
16,Rúben Dias,pt POR,DF,Manchester City,28,£ 250000 (€ 288417 $335892),£ 13000000 (€ 14997694 $17466406),Unverified estimation,31c69ef1
17,Reece James,eng ENG,DFMF,Chelsea,25,£ 250000 (€ 288417 $335892),£ 13000000 (€ 14997694 $17466406),,1265a93a
18,William Saliba,fr FRA,DF,Arsenal,24,£ 250000 (€ 288417 $335892),£ 13000000 (€ 14997694 $17466406),,972aeb2a
19,Declan Rice,eng ENG,MF,Arsenal,26,£ 240000 (€ 276881 $322457),£ 12480000 (€ 14397786 $16767750),,1c7012b8
20,Martin Ødegaard,no NOR,MF,Arsenal,26,£ 240000 (€ 276881 $322457),£ 12480000 (€ 14397786 $16767750),,79300479
21,Tijjani Reijnders,nl NED,MF,Manchester City,27,£ 230000 (€ 265344 $309021),£ 11960000 (€ 13797879 $16069093),,afb61630
22,Phil Foden,eng ENG,MF,Manchester City,25,£ 225000 (€ 259575 $302303),£ 11700000 (€ 13497925 $15719765),,ed1e53f3
23,Rodri,es ESP,MF,Manchester City,29,£ 220000 (€ 253807 $295585),£ 11440000 (€ 13197971 $15370437),,6434f10d
24,Florian Wirtz,de GER,MF,Liverpool,22,£ 200000 (€ 230734 $268714),£ 10400000 (€ 11998155 $13973125),,e7fcf289
25,Hugo Ekitike,fr FRA,FW,Liverpool,23,£ 200000 (€ 230734 $268714),£ 10400000 (€ 11998155 $13973125),,5b92d896
26,Joško Gvardiol,hr CRO,DF,Manchester City,23,£ 200000 (€ 230734 $268714),£ 10400000 (€ 11998155 $13973125),Unverified estimation,5ad50391
27,Wesley Fofana,fr FRA,DF,Chelsea,24,£ 200000 (€ 230734 $268714),£ 10400000 (€ 11998155 $13973125),,132a82f1
28,Viktor Gyökeres,se SWE,FW,Arsenal,27,£ 200000 (€ 230734 $268714),£ 10400000 (€ 11998155 $13973125),Unverified estimation,4d5a9185
29,Matthijs de Ligt,nl NED,DF,Manchester Utd,25,£ 195000 (€ 224965 $261996),£ 10140000 (€ 11698201 $13623797),,d6e53a3a
30,Cristian Romero,ar ARG,DF,Tottenham,27,£ 195000 (€ 224965 $261996),£ 10140000 (€ 11698201 $13623797),,a3d94a58
31,Xavi Simons,nl NED,MFFW,Tottenham,22,£ 195000 (€ 224965 $261996),£ 10140000 (€ 11698201 $13623797),,da4d670f
32,Bukayo Saka,eng ENG,FWMF,Arsenal,23,£ 195000 (€ 224965 $261996),£ 10140000 (€ 11698201 $13623797),,bc7dc64d
33,Harry Maguire,eng ENG,DF,Manchester Utd,32,£ 190000 (€ 219197 $255278),£ 9880000 (€ 11398248 $13274469),,d8931174
34,Matheus Cunha,br BRA,MFFW,Manchester Utd,26,£ 180000 (€ 207660 $241843),£ 9360000 (€ 10798340 $12575812),,dc62b55d
35,Rayan Cherki,fr FRA,MF,Manchester City,21,£ 180000 (€ 207660 $241843),£ 9360000 (€ 10798340 $12575812),Unverified estimation,b34c63a5
36,Enzo Fernández,ar ARG,MF,Chelsea,24,£ 180000 (€ 207660 $241843),£ 9360000 (€ 10798340 $12575812),,5ff4ab71
37,Eberechi Eze,eng ENG,MFFW,Arsenal,27,£ 180000 (€ 207660 $241843),£ 9360000 (€ 10798340 $12575812),Unverified estimation,ae4fc6a4
38,Gabriel Martinelli,br BRA,FWMF,Arsenal,24,£ 180000 (€ 207660 $241843),£ 9360000 (€ 10798340 $12575812),,48a5a5d6
39,Leandro Trossard,be BEL,FWMF,Arsenal,30,£ 180000 (€ 207660 $241843),£ 9360000 (€ 10798340 $12575812),Unverified estimation,38ceb24a
40,Marc Cucurella,es ESP,DF,Chelsea,27,£ 175000 (€ 201892 $235125),£ 9100000 (€ 10498386 $12226484),,1daec722
41,James Maddison,eng ENG,FWMF,Tottenham,28,£ 170000 (€ 196124 $228407),£ 8840000 (€ 10198432 $11877156),,ee38d9c5
